,Tween Concentrations,Surface Tensions,,,,,,,,,,,,,,,,,,,,,,
0,0,72,,,,,,,,,,,,,,,,,,,,,,
1,-6.397940009,63.28758788,,,,,,,,,,,,,,,,,,,,,,
2,-6.096910013,58.18189499,,,,,,,,,,,,,,,,,,,,,,
3,-5.920818754,54.65116824,,,,,,,,,,,,,,,,,,,,,,
4,-5.823908741,52.64028338,,,,,,,,,,,,,,,,,,,,,,
5,-5.721246399,50.52450948,,,,,,,,,,,,,,,,,,,,,,
6,-5.638272164,48.86285611,,,,,,,,,,,,,,,,,,,,,,
7,-5.568636236,47.52271834,,,,,,,,,,,,,,,,,,,,,,
8,-5.508638306,46.41868075,,,,,,,,,,,,,,,,,,,,,,
9,-5.468521083,45.71025444,,,,,,,,,,,,,,,,,,,,,,
10,-5.420216403,44.89160179,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,